"yearNumber","Time","dcAnnualHealthUS","dcOUDNoTxExcess","dcOUDTxExcess","dcMethadone","dcBuprenorphine","dcNaltrexone","dcOverdoseNonfatal","dcOverdoseFatal","dcNetProductivity","dcCM","dcTherapy","dcHubSpoke","dcED","dcTH","nRun"
0,2021,6520,7598,6078,5969.99691744312,6527.7080360509,18039.6330930926,4376.93,3567.74,771853,0,0,0,0,0,"497"
1,2022,6330.09708737864,7376.69902912621,5900.97087378641,5796.1135120807,6337.58061752514,17514.2068864977,4249.44660194175,3463.82524271845,749371.844660194,984.499481766301,1584.01856871931,10185.4025232057,192.035291878247,0,"497"
2,2023,6145.72532755208,7161.84371759827,5729.09793571496,5627.29467192301,6152.99089080111,17004.084355823,4125.6763125648,3362.93712885286,727545.480252616,1911.64947915787,3075.76421110545,19777.4806275839,372.884061899509,0,"497"
3,2024,5966.7236189826,6953.24632776531,5562.2310055485,5463.39288536214,5973.77756388457,16508.8197629349,4005.51098307263,3264.98750374064,706354.835196714,2783.95555217165,4479.26826860017,28802.156253763,543.035041601227,0,"497"
4,2025,5792.93555241029,6750.7245900634,5400.22427723156,5304.2649372448,5799.78404260638,16027.980352364,3888.84561463362,3169.89078033072,685781.393394868,2702.86946812781,4348.80414427201,27963.258498799,527.218486991483,0,"497"
5,2026,5624.20927418475,6554.10154375088,5242.93619148695,5149.77178373281,5630.8582937926,15561.1459731689,3775.57826663458,3077.56386439876,665807.17805327,2624.1451146872,4222.13994589515,27148.7946590281,511.862608729595,0,"497"
6,2027,5460.39735357743,6363.20538228241,5090.22931212325,4999.77843080856,5466.85271242,15107.9087118145,3665.60996760639,2987.92608194054,646414.735974049,2547.7137035798,4099.16499601471,26358.0530670176,496.953989057859,0,"497"
7,2028,5301.35665395867,6177.8693031868,4941.9702059449,4854.15381631899,5307.62399264078,14667.8725357422,3558.84462874406,2900.89910868014,627587.122304901,2473.50845007748,3979.77184079098,25590.3427835122,482.479601027048,0,"497"
8,2029,5146.94820772686,5997.93136231728,4798.0293261601,4712.77069545533,5153.03300256386,14240.6529473226,3455.18895994569,2816.4069016312,609307.885732914,2401.46451463833,3863.85615610775,24844.9929937012,468.426797113638,0,"497"
9,2030,4997.03709488045,5823.23433234688,4658.28089918456,4575.50552956828,5002.94466268336,13825.876647886,3354.55238829679,2734.37563265165,591561.054109625,2331.51894625081,3751.31665641529,24121.3524210691,454.783298168581,0,"497"
10,2031,4851.49232512665,5653.62556538532,4522.60281474229,4442.23837822163,4857.22782784793,13423.1812115398,3256.84697892892,2654.73362393364,574331.120494782,2263.61062742797,3642.05500622844,23418.7887583195,441.537182687943,0,"497"
0,2021,6520,7598,6078,6357.52346929489,8145.65423582098,17480.6498449722,4376.93,3567.74,771853,0,0,0,0,0,"498"
1,2022,6330.09708737864,7376.69902912621,5900.97087378641,6172.35288281057,7908.40217069998,16971.5047038565,4249.44660194175,3463.82524271845,749371.844660194,975.707909811596,1580.51033303877,12347.6342593944,156.853535250516,0,"498"
2,2023,6145.72532755208,7161.84371759827,5729.09793571496,5992.57561437919,7678.0603599029,16477.1890328704,4125.6763125648,3362.93712885286,727545.480252616,1894.57846565358,3068.9521029879,23975.9888531929,304.569971360226,0,"498"
3,2024,5966.7236189826,6953.24632776531,5562.2310055485,5818.03457706718,7454.42753388631,15997.2709056994,4005.51098307263,3264.98750374064,706354.835196714,2759.09485289357,4469.34772279792,34916.4886211548,443.548501980912,0,"498"
4,2025,5792.93555241029,6750.7245900634,5400.22427723156,5648.57725928852,7237.30828532651,15531.3309764072,3888.84561463362,3169.89078033072,685781.393394868,2678.73286688696,4339.17254640574,33899.5035156842,430.629613573701,0,"498"
5,2026,5624.20927418475,6554.10154375088,5242.93619148695,5484.05559154225,7026.51289837526,15078.9621130167,3775.57826663458,3077.56386439876,665807.17805327,2600.71152124948,4212.78888000558,32912.1393356158,418.087003469612,0,"498"
6,2027,5460.39735357743,6363.20538228241,5090.22931212325,5324.32581703132,6821.8571828886,14639.7690417638,3665.60996760639,2987.92608194054,646414.735974049,2524.96264198978,4090.08629126755,31953.5333355493,405.90971210642,0,"498"
7,2028,5301.35665395867,6177.8693031868,4941.9702059449,5169.24836604982,6623.16231348407,14213.3680017124,3558.84462874406,2900.89910868014,627587.122304901,2451.42004076678,3970.95756433743,31022.8478985915,394.087099132446,0,"498"
8,2029,5146.94820772686,5997.93136231728,4798.0293261601,5018.68773402895,6430.25467328551,13799.3864094295,3455.18895994569,2816.4069016312,609307.885732914,2380.01945705512,3855.29860615284,30119.2698044578,382.608834109171,0,"498"
9,2030,4997.03709488045,5823.23433234688,4658.28089918456,4872.5123631349,6242.96570221894,13397.4625334267,3354.55238829679,2734.37563265165,591561.054109625,2310.69850199527,3743.0083554882,29242.0095188911,371.464887484632,0,"498"
10,2031,4851.49232512665,5653.62556538532,4522.60281474229,4730.59452731544,6061.13174972713,13007.2451780842,3256.84697892892,2654.73362393364,574331.120494782,2243.3966038789,3633.98869464873,28390.3005037777,360.64552182974,0,"498"
0,2021,6520,7598,6078,8640.36273554503,7001.4187254943,16182.10027054,4376.93,3567.74,771853,0,0,0,0,0,"499"
1,2022,6330.09708737864,7376.69902912621,5900.97087378641,8388.70168499517,6797.49390824689,15710.7769616893,4249.44660194175,3463.82524271845,749371.844660194,1075.26159504169,1719.22497680971,13878.4136060669,217.046795086453,0,"499"
2,2023,6145.72532755208,7161.84371759827,5729.09793571496,8144.37056795648,6599.50864878339,15253.1815162032,4125.6763125648,3362.93712885286,727545.480252616,2087.88659231397,3338.3009258441,26948.3759341105,421.450087546511,0,"499"
3,2024,5966.7236189826,6953.24632776531,5562.2310055485,7907.15589121988,6407.28995027513,14808.9140934012,4005.51098307263,3264.98750374064,706354.835196714,3040.61154220481,4861.60329006423,39245.2076710347,613.762263417248,0,"499"
4,2025,5792.93555241029,6750.7245900634,5400.22427723156,7676.85037982513,6220.66985463605,14377.5864984477,3888.84561463362,3169.89078033072,685781.393394868,2952.05004097554,4720.00319423712,38102.1433699366,595.885692638105,0,"499"
5,2026,5624.20927418475,6554.10154375088,5242.93619148695,7453.25279594673,6039.48529576316,13958.8218431531,3775.57826663458,3077.56386439876,665807.17805327,2866.06800094713,4582.52737304574,36992.3722038219,578.529798677772,0,"499"
6,2027,5460.39735357743,6363.20538228241,5090.22931212325,7236.16776305507,5863.57795705161,13552.2542166535,3665.60996760639,2987.92608194054,646414.735974049,2782.59029218168,4449.05570198616,35914.92446973,561.679416192012,0,"499"
